,Amplitude
0,0.0
1,23.0
2,22.0
3,19.0
4,15.0
5,13.0
6,14.0
7,17.0
8,21.0
9,23.0
10,23.0
11,19.0
12,16.0
13,13.0
14,13.0
15,16.0
16,20.0
17,23.0
18,23.0
19,20.0
20,16.0
21,14.0
22,13.0
23,16.0
24,20.0
25,23.0
26,23.0
27,20.0
28,17.0
29,15.0
30,19.0
31,22.0
32,23.0
33,21.0
34,18.0
35,14.0
36,13.0
37,15.0
38,18.0
39,21.0
40,23.0
41,22.0
42,18.0
43,14.0
44,13.0
45,14.0
46,18.0
47,21.0
48,23.0
49,22.0
50,18.0
51,15.0
52,13.0
53,14.0
54,17.0
55,21.0
56,23.0
57,23.0
58,19.0
59,15.0
60,13.0
61,14.0
62,17.0
63,21.0
64,23.0
65,22.0
66,20.0
67,16.0
68,13.0
69,13.0
70,16.0
71,20.0
72,22.0
73,23.0
74,20.0
75,16.0
76,13.0
77,13.0
78,16.0
79,19.0
80,23.0
81,23.0
82,21.0
83,16.0
84,14.0
85,13.0
86,15.0
87,19.0
88,22.0
89,23.0
90,21.0
91,17.0
92,14.0
93,13.0
94,15.0
95,18.0
96,22.0
97,23.0
98,21.0
99,18.0
100,14.0
101,13.0
102,15.0
103,18.0
104,22.0
105,23.0
106,22.0
107,18.0
108,14.0
109,13.0
110,15.0
111,17.0
112,21.0
113,23.0
114,22.0
115,19.0
116,15.0
117,13.0
118,14.0
119,17.0
120,21.0
121,23.0
122,22.0
123,19.0
124,15.0
125,13.0
126,14.0
127,17.0
128,21.0
129,23.0
130,22.0
131,20.0
132,16.0
133,13.0
134,13.0
135,16.0
136,20.0
137,23.0
138,23.0
139,20.0
140,16.0
141,13.0
142,13.0
143,16.0
144,20.0
145,23.0
146,23.0
147,20.0
148,17.0
149,14.0
150,13.0
151,16.0
152,19.0
153,22.0
154,23.0
155,21.0
156,17.0
157,14.0
158,13.0
159,16.0
160,18.0
161,22.0
162,23.0
163,21.0
164,18.0
165,14.0
166,13.0
167,14.0
