,Amplitude
532,29.0
533,34.0
534,34.0
535,33.0
536,30.0
537,23.0
538,19.0
539,23.0
540,22.0
541,22.0
542,22.0
543,25.0
544,25.0
545,25.0
546,25.0
547,28.0
548,28.0
549,26.0
550,26.0
551,27.0
552,27.0
553,27.0
554,25.0
555,26.0
556,28.0
557,24.0
558,28.0
559,28.0
560,28.0
561,29.0
562,28.0
563,28.0
564,27.0
565,28.0
566,28.0
567,28.0
568,26.0
569,27.0
570,26.0
571,26.0
572,22.0
573,23.0
574,27.0
575,26.0
576,28.0
577,29.0
578,29.0
579,25.0
580,25.0
581,29.0
582,27.0
583,27.0
584,25.0
585,23.0
586,23.0
587,24.0
588,29.0
589,29.0
590,31.0
591,32.0
592,30.0
593,26.0
594,24.0
595,27.0
596,25.0
597,29.0
598,33.0
599,30.0
600,29.0
601,28.0
602,30.0
603,30.0
604,29.0
605,31.0
606,29.0
607,29.0
608,26.0
609,28.0
610,25.0
611,25.0
612,23.0
613,25.0
614,30.0
615,33.0
616,31.0
617,27.0
618,26.0
619,29.0
620,32.0
621,31.0
622,30.0
623,28.0
624,26.0
625,31.0
626,30.0
627,31.0
628,37.0
629,40.0
630,37.0
631,33.0
632,30.0
633,27.0
634,30.0
635,31.0
636,32.0
637,33.0
638,30.0
639,28.0
640,33.0
641,33.0
642,31.0
643,27.0
644,24.0
645,25.0
646,31.0
647,33.0
648,32.0
649,30.0
650,29.0
651,32.0
652,36.0
653,34.0
654,31.0
655,32.0
656,38.0
657,40.0
658,32.0
659,31.0
660,32.0
661,31.0
662,28.0
663,27.0
664,31.0
665,35.0
666,31.0
667,27.0
668,27.0
669,25.0
670,25.0
671,30.0
672,35.0
673,35.0
674,30.0
675,29.0
676,30.0
677,30.0
678,28.0
679,31.0
680,33.0
681,32.0
682,33.0
683,34.0
684,31.0
685,32.0
686,34.0
687,32.0
688,31.0
689,30.0
690,32.0
691,26.0
692,23.0
693,24.0
694,29.0
695,26.0
696,24.0
697,23.0
698,24.0
699,30.0
700,32.0
701,31.0
702,31.0
703,30.0
704,29.0
705,25.0
706,27.0
707,25.0
708,25.0
709,25.0
710,29.0
711,32.0
712,32.0
713,29.0
