,Amplitude
532,350.0
533,340.0
534,330.0
535,323.0
536,316.0
537,310.0
538,306.0
539,304.0
540,303.0
541,303.0
542,304.0
543,308.0
544,312.0
545,318.0
546,326.0
547,334.0
548,343.0
549,353.0
550,364.0
551,376.0
552,387.0
553,400.0
554,412.0
555,424.0
556,436.0
557,447.0
558,458.0
559,468.0
560,477.0
561,485.0
562,492.0
563,497.0
564,502.0
565,504.0
566,506.0
567,506.0
568,504.0
569,501.0
570,496.0
571,491.0
572,484.0
573,475.0
574,467.0
575,456.0
576,445.0
577,433.0
578,422.0
579,409.0
580,398.0
581,385.0
582,374.0
583,362.0
584,352.0
585,341.0
586,332.0
587,324.0
588,317.0
589,312.0
590,307.0
591,304.0
592,303.0
593,302.0
594,304.0
595,307.0
596,312.0
597,317.0
598,324.0
599,332.0
600,342.0
601,352.0
602,363.0
603,374.0
604,386.0
605,398.0
606,410.0
607,422.0
608,434.0
609,446.0
610,457.0
611,467.0
612,476.0
613,484.0
614,491.0
615,497.0
616,501.0
617,504.0
618,506.0
619,506.0
620,505.0
621,502.0
622,498.0
623,492.0
624,485.0
625,477.0
626,467.0
627,457.0
628,447.0
629,435.0
630,423.0
631,411.0
632,399.0
633,387.0
634,375.0
635,363.0
636,353.0
637,342.0
638,333.0
639,325.0
640,318.0
641,312.0
642,307.0
643,304.0
644,303.0
645,303.0
646,304.0
647,307.0
648,311.0
649,317.0
650,323.0
651,331.0
652,341.0
653,350.0
654,361.0
655,373.0
656,384.0
657,396.0
658,409.0
659,421.0
660,433.0
661,445.0
662,456.0
663,466.0
664,475.0
665,483.0
666,490.0
667,497.0
668,501.0
669,504.0
670,506.0
671,506.0
672,505.0
673,502.0
674,498.0
675,493.0
676,486.0
677,478.0
678,469.0
679,459.0
680,448.0
681,436.0
682,425.0
683,413.0
684,401.0
685,388.0
686,376.0
687,365.0
688,354.0
689,344.0
690,334.0
691,326.0
692,319.0
693,312.0
694,308.0
695,305.0
696,303.0
697,303.0
698,304.0
699,307.0
700,310.0
701,316.0
702,323.0
703,330.0
704,339.0
705,349.0
706,360.0
707,371.0
708,383.0
709,395.0
710,407.0
711,419.0
712,432.0
713,443.0
714,454.0
715,464.0
716,474.0
717,482.0
718,490.0
719,496.0
720,500.0
721,504.0
722,506.0
723,507.0
724,505.0
725,503.0
726,499.0
727,494.0
728,487.0
729,479.0
730,470.0
731,460.0
732,449.0
733,438.0
734,426.0
735,414.0
736,402.0
737,389.0
738,378.0
739,366.0
740,355.0
741,345.0
742,335.0
743,326.0
744,319.0
745,313.0
746,308.0
747,305.0
748,303.0
749,303.0
750,304.0
751,306.0
752,310.0
753,315.0
754,322.0
755,329.0
756,338.0
757,348.0
758,358.0
759,370.0
760,381.0
761,393.0
762,405.0
763,418.0
764,430.0
765,442.0
766,453.0
767,463.0
768,473.0
769,481.0
770,489.0
771,495.0
772,500.0
773,503.0
774,506.0
775,506.0
776,506.0
777,503.0
778,499.0
779,494.0
780,488.0
781,480.0
782,471.0
783,461.0
784,450.0
785,439.0
786,427.0
787,416.0
788,403.0
789,391.0
790,380.0
791,368.0
792,356.0
793,346.0
794,336.0
795,328.0
796,320.0
797,314.0
798,309.0
799,305.0
800,303.0
801,303.0
802,303.0
803,306.0
804,309.0
805,314.0
806,320.0
807,328.0
808,337.0
809,347.0
810,357.0
811,368.0
812,380.0
813,392.0
814,404.0
815,416.0
816,428.0
817,440.0
818,451.0
819,462.0
820,472.0
821,480.0
822,488.0
823,494.0
824,499.0
825,503.0
826,506.0
827,506.0
828,506.0
829,503.0
830,500.0
831,495.0
832,488.0
833,481.0
834,472.0
835,463.0
836,452.0
837,441.0
838,429.0
839,417.0
840,405.0
841,393.0
842,380.0
843,369.0
844,358.0
845,347.0
846,338.0
847,329.0
848,321.0
849,315.0
850,309.0
851,305.0
852,303.0
853,303.0
854,303.0
855,305.0
856,309.0
857,313.0
858,320.0
859,328.0
860,336.0
861,346.0
862,356.0
863,367.0
864,379.0
865,390.0
866,403.0
867,415.0
868,427.0
869,439.0
870,450.0
871,461.0
872,470.0
873,479.0
874,487.0
875,494.0
876,499.0
877,503.0
878,506.0
879,507.0
880,506.0
881,504.0
882,501.0
883,496.0
884,489.0
885,482.0
886,473.0
887,464.0
888,454.0
889,442.0
890,431.0
891,419.0
892,406.0
893,394.0
894,382.0
895,370.0
896,359.0
897,348.0
898,339.0
899,330.0
900,322.0
901,315.0
902,310.0
903,306.0
904,304.0
905,303.0
906,304.0
907,305.0
908,309.0
909,313.0
910,319.0
911,326.0
912,335.0
913,344.0
914,355.0
915,366.0
916,377.0
917,389.0
918,401.0
919,413.0
920,426.0
921,437.0
922,449.0
923,460.0
924,470.0
925,478.0
926,486.0
927,493.0
928,498.0
929,502.0
930,505.0
931,506.0
932,506.0
933,504.0
934,501.0
935,496.0
936,490.0
937,483.0
938,474.0
939,465.0
940,455.0
941,444.0
942,432.0
943,420.0
944,408.0
945,395.0
946,384.0
947,372.0
948,360.0
949,350.0
950,340.0
951,331.0
952,323.0
953,316.0
954,311.0
955,306.0
956,304.0
957,302.0
958,303.0
959,304.0
960,308.0
961,312.0
962,319.0
963,325.0
964,334.0
965,343.0
966,353.0
967,364.0
968,376.0
969,388.0
970,400.0
971,412.0
972,424.0
973,436.0
974,448.0
975,458.0
976,468.0
977,477.0
978,486.0
979,492.0
980,498.0
981,502.0
982,505.0
983,507.0
984,506.0
985,504.0
986,501.0
987,497.0
988,491.0
989,484.0
990,476.0
991,467.0
992,456.0
993,445.0
994,433.0
995,421.0
996,409.0
997,397.0
998,385.0
999,373.0
1000,362.0
1001,351.0
1002,341.0
1003,331.0
1004,324.0
1005,317.0
1006,311.0
1007,307.0
1008,304.0
1009,302.0
1010,303.0
1011,304.0
1012,307.0
1013,312.0
1014,317.0
1015,325.0
1016,333.0
1017,342.0
1018,352.0
1019,363.0
1020,374.0
1021,386.0
1022,398.0
1023,410.0
1024,423.0
1025,435.0
1026,446.0
1027,457.0
1028,467.0
1029,476.0
1030,484.0
1031,492.0
1032,497.0
1033,501.0
1034,505.0
1035,506.0
1036,506.0
1037,505.0
1038,501.0
1039,497.0
1040,492.0
1041,485.0
1042,476.0
1043,467.0
1044,457.0
1045,447.0
1046,435.0
1047,423.0
1048,411.0
1049,399.0
1050,386.0
1051,375.0
1052,363.0
1053,352.0
1054,342.0
1055,333.0
1056,325.0
1057,318.0
1058,312.0
1059,308.0
1060,304.0
1061,303.0
1062,302.0
1063,304.0
1064,307.0
1065,311.0
1066,317.0
1067,323.0
1068,332.0
1069,341.0
1070,351.0
1071,361.0
1072,373.0
1073,385.0
1074,397.0
1075,409.0
1076,421.0
1077,433.0
1078,445.0
1079,456.0
1080,466.0
1081,475.0
1082,483.0
1083,491.0
1084,497.0
1085,501.0
1086,504.0
1087,506.0
1088,506.0
1089,505.0
1090,502.0
1091,498.0
1092,493.0
1093,486.0
1094,478.0
1095,469.0
1096,458.0
1097,448.0
1098,436.0
1099,424.0
1100,412.0
1101,400.0
1102,388.0
1103,376.0
1104,364.0
1105,354.0
1106,344.0
1107,334.0
1108,326.0
1109,319.0
1110,313.0
1111,308.0
1112,304.0
1113,303.0
1114,303.0
1115,304.0
1116,306.0
1117,311.0
1118,316.0
1119,323.0
1120,331.0
1121,339.0
1122,349.0
1123,360.0
1124,371.0
1125,383.0
1126,395.0
1127,407.0
1128,419.0
1129,432.0
1130,443.0
1131,454.0
1132,465.0
1133,475.0
1134,482.0
1135,490.0
1136,496.0
1137,500.0
1138,504.0
1139,506.0
1140,506.0
1141,505.0
1142,502.0
1143,498.0
1144,493.0
1145,487.0
1146,479.0
1147,470.0
1148,460.0
1149,449.0
1150,438.0
1151,426.0
1152,414.0
1153,401.0
1154,389.0
1155,378.0
1156,366.0
1157,355.0
1158,344.0
1159,335.0
1160,327.0
1161,319.0
1162,313.0
1163,308.0
1164,305.0
1165,303.0
1166,303.0
1167,304.0
1168,306.0
1169,310.0
1170,315.0
1171,322.0
1172,330.0
1173,338.0
1174,348.0
1175,359.0
1176,370.0
1177,382.0
1178,394.0
1179,406.0
1180,418.0
1181,430.0
1182,442.0
1183,453.0
1184,463.0
1185,473.0
1186,482.0
1187,489.0
1188,495.0
1189,500.0
1190,503.0
1191,506.0
1192,506.0
1193,505.0
1194,503.0
1195,499.0
1196,494.0
1197,487.0
1198,480.0
1199,471.0
1200,461.0
1201,450.0
1202,439.0
1203,427.0
1204,415.0
1205,403.0
1206,391.0
1207,379.0
1208,367.0
1209,356.0
1210,346.0
1211,336.0
1212,327.0
1213,320.0
1214,314.0
1215,309.0
1216,305.0
1217,303.0
1218,303.0
1219,303.0
1220,305.0
1221,310.0
1222,314.0
1223,321.0
1224,329.0
1225,337.0
1226,347.0
1227,357.0
1228,368.0
1229,380.0
1230,392.0
1231,404.0
1232,417.0
1233,428.0
1234,440.0
1235,452.0
1236,462.0
1237,472.0
1238,481.0
1239,489.0
1240,494.0
1241,499.0
1242,503.0
1243,505.0
1244,506.0
1245,506.0
1246,503.0
1247,500.0
1248,495.0
1249,489.0
1250,481.0
1251,472.0
1252,463.0
1253,452.0
1254,441.0
1255,429.0
1256,417.0
1257,405.0
1258,392.0
1259,380.0
1260,369.0
1261,358.0
1262,347.0
1263,337.0
1264,329.0
1265,321.0
1266,315.0
1267,309.0
1268,306.0
1269,303.0
1270,303.0
1271,303.0
1272,305.0
1273,309.0
1274,314.0
1275,320.0
1276,328.0
1277,336.0
1278,346.0
1279,356.0
1280,367.0
1281,379.0
1282,391.0
1283,403.0
1284,415.0
1285,427.0
1286,439.0
1287,451.0
1288,461.0
1289,471.0
1290,479.0
1291,487.0
1292,494.0
1293,499.0
1294,503.0
1295,505.0
1296,506.0
1297,506.0
1298,504.0
1299,500.0
1300,496.0
1301,489.0
1302,482.0
1303,473.0
1304,464.0
1305,453.0
1306,442.0
1307,430.0
1308,418.0
1309,406.0
1310,394.0
1311,382.0
1312,370.0
1313,359.0
1314,349.0
1315,339.0
1316,329.0
1317,321.0
1318,315.0
1319,310.0
1320,306.0
