Indice,Anular,Anular filtered
-46112,3.376664876,1.410916098
-46108,7.393761252,4.349140711
-46104,11.41110036,7.310067442
-46104,11.42868311,10.28775827
-46103,12.44651039,13.27625264
-46092,23.4645831,16.26959617
-46091,24.48290214,19.26186879
-46090,25.5014684,22.24721247
-46089,26.52028276,25.2198581
-46086,29.53934613,28.17415142
-46079,36.55865938,31.10457789
-46075,40.5782234,34.00578633
-46080,35.59803906,36.87261115
-46069,46.61810724,39.70009305
-46073,42.63842882,42.48349819
-46069,46.65900466,45.2183356
-46064,51.67983562,47.90037276
-46065,50.70092256,50.52564942
-46056,59.72226633,53.09048948
-46057,58.74386778,55.59151088
-46055,60.76572776,58.02563364
-46058,57.7878471,60.39008587
-46054,61.81022662,62.68240785
-46051,64.83286716,64.9004542
-46053,62.85576954,67.04239417
-46047,68.87893456,69.10671008
-46043,72.90236303,71.09219404
-46044,71.92605575,72.9979429
-46041,74.95001351,74.82335166
-46039,76.9742371,76.56810535
-46043,72.99872729,78.23216949
-46041,75.02348486,79.8157792
-46036,80.04851057,81.31942724
-46033,83.07380517,82.74385082
-46032,84.0993694,84.09001763
-46030,86.12520402,85.35911087
-46033,83.15130975,86.5525138
-46024,92.17768731,87.67179348
-46028,88.20433742,88.71868431
-46026,90.23126078,89.69507108
-46027,89.25845809,90.60297193
-46029,87.28593004,91.44452125
-46026,90.3136773,92.22195258
-46032,84.34170056,92.93758169
-46022,94.37000046,93.59379002
-46023,93.39857766,94.1930084
-46023,93.42743281,94.73770128
-46025,91.45656654,95.23035153
-46019,97.48597948,95.67344593
-46015,101.5156722,96.06946127
-46015,101.5456454,96.42085138
-46026,90.57589966,96.73003485
-46024,92.6064355,96.99938381
-46021,95.63725353,97.2312135
-46020,96.66835433,97.4277729
-46015,101.6997384,97.59123631
-46017,99.73140644,97.72369596
-46017,99.76335884,97.82715563
-46018,98.7955962,97.90352527
-46022,94.82811901,97.95461668
-46021,95.86092781,97.9821401
-46019,97.89402308,97.98770188
-46022,94.92740533,97.97280297
-46018,98.96107502,97.93883845
-46024,92.99503265,97.88709782
-46020,97.02927867,97.81876618
-46019,98.06381353,97.73492613
-46020,97.09863769,97.63656047
-46021,96.13375157,97.52455546
-46019,98.16915561,97.39970474
-46019,98.20485022,97.26271377
-46018,99.2408358,97.11420478
-46019,98.27711276,96.95472202
-46018,99.31368147,96.78473749
-46016,101.3505423,96.60465681
-46020,97.38769569,96.41482539
-46019,98.42514192,96.21553467
-46024,93.46288137,96.00702851
-46021,96.50091436,95.78950955
-46018,99.53924124,95.56314549
-46020,97.57786233,95.32807541
-46025,92.61677792,95.08441577
-46019,98.65598834,94.83226637
-46022,95.69549385,94.57171595
-46023,94.73529476,94.30284758
-46020,97.77539133,94.02574373
-46027,90.81578383,93.74049096
-46030,87.8564725,93.44718429
-46028,89.8974576,93.14593109
